,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
30,6,2,11717,7,11,4,11,1,4,1,0,0,51,39,0
31,3,4,16899,15,9,4,12,3,2,1,0,0,43,39,0
32,28,4,20416,9,12,0,4,3,4,1,0,15,39,39,0
33,13,1,1983,15,9,2,1,3,4,1,0,0,39,39,0
34,5,7,18593,15,9,2,8,0,2,1,0,0,14,39,0
35,31,4,15792,1,6,4,7,4,4,1,0,0,39,33,0
36,4,4,12418,15,9,4,7,3,4,1,0,0,39,39,0
37,2,4,21430,11,8,1,1,5,4,0,0,0,24,39,0
38,14,4,2977,15,9,2,12,0,4,1,0,0,37,0,1
39,31,6,16880,7,11,2,10,0,4,1,0,0,39,39,0
40,14,4,21343,6,4,2,7,0,4,1,0,0,42,39,0
41,36,6,3176,9,12,2,10,0,4,1,0,0,39,39,0
42,7,4,9719,9,12,2,13,0,4,1,0,0,49,39,0
43,32,4,3488,11,8,5,1,4,4,0,0,0,39,39,0
44,8,4,17901,11,8,4,6,1,4,1,0,0,34,39,0
45,40,1,19337,9,12,2,10,0,2,1,0,0,39,39,1
46,36,4,7328,11,8,2,7,0,4,1,0,0,37,39,0
47,27,4,6213,12,13,0,4,4,4,0,0,0,39,39,0
48,24,7,3994,8,10,2,3,0,4,1,0,0,39,39,0
49,12,4,17154,8,10,4,10,1,4,1,0,0,42,39,0
50,8,4,549,15,9,2,4,5,3,0,0,0,39,39,0
51,1,4,14850,11,8,4,8,3,4,0,0,0,29,0,0
52,30,4,1608,14,14,2,10,5,4,0,0,47,59,16,1
53,33,1,16257,9,12,0,4,1,4,1,0,0,54,39,1
54,30,5,4680,11,8,0,4,1,4,1,0,0,59,39,0
55,26,4,15537,15,9,2,13,0,4,1,0,0,39,39,1
56,29,4,14161,4,2,2,7,0,4,1,0,0,39,26,0
57,18,4,1840,8,10,2,8,0,4,1,0,0,39,33,0
58,24,4,7554,11,8,2,1,0,4,1,0,0,47,39,0
59,13,4,11422,11,8,2,7,0,4,1,77,0,39,39,0
60,13,4,1970,9,12,2,12,0,4,1,34,0,39,39,0
61,15,0,18040,5,3,3,0,1,4,1,0,0,39,0,0
62,31,4,7725,11,8,2,14,0,4,1,0,0,39,39,0
63,25,4,5267,10,15,2,10,0,4,1,0,0,44,39,1
64,12,4,4327,15,9,0,13,1,4,1,0,0,57,39,0
65,19,4,8168,11,8,2,3,0,4,1,0,0,39,39,0
66,11,4,10859,15,9,0,1,1,4,0,0,0,39,39,0
67,36,4,9412,11,8,2,1,5,4,0,0,0,39,39,1
68,32,5,11825,15,9,2,4,0,4,1,0,0,49,39,1
69,8,0,12805,15,9,4,0,3,4,1,0,0,39,39,0
70,2,4,3983,15,9,4,10,3,4,1,0,0,31,39,0
71,14,4,18555,9,12,5,12,3,2,0,0,0,39,39,0
72,12,6,8707,9,12,2,12,0,4,1,0,0,68,39,1
73,6,4,13787,15,9,4,7,1,4,1,0,0,39,39,0
74,62,4,5947,15,9,2,10,2,4,1,0,0,19,39,0
75,10,4,13966,11,8,4,8,3,4,1,0,0,39,26,0
76,23,4,544,7,11,2,1,0,4,1,0,0,39,39,0
77,50,0,13865,0,5,2,0,0,4,1,0,0,1,39,0
78,1,4,18550,1,6,4,8,3,4,0,0,0,21,39,0
79,14,2,6036,5,3,2,5,0,4,1,0,0,39,39,0
80,1,4,21076,11,8,4,12,1,4,1,0,0,29,39,0
81,35,4,17359,9,12,2,8,0,4,1,0,0,39,5,0
82,29,4,1598,11,8,2,8,5,4,0,0,0,39,39,0
83,42,4,8511,11,8,2,12,0,4,1,0,0,47,39,0
84,27,4,19520,11,8,0,3,1,4,0,106,0,39,39,1
85,36,4,19601,11,8,0,12,3,4,0,0,0,34,39,0
86,32,2,17019,11,8,2,11,0,4,1,0,0,39,39,1
87,16,4,12945,12,13,2,10,0,4,1,0,0,49,39,0
88,13,4,1739,6,4,4,12,1,4,1,0,0,39,39,0
89,26,1,20763,10,15,4,10,1,4,0,0,0,49,39,1
90,40,4,16186,8,10,2,10,0,4,1,0,0,39,39,0
91,20,4,17778,15,9,0,3,4,4,0,0,0,39,39,0
92,11,4,13849,15,9,0,7,4,2,0,0,0,24,39,0
93,13,4,5384,11,8,2,12,5,1,0,0,21,34,0,0
94,17,2,14804,9,12,2,11,0,4,1,0,0,39,39,1
95,12,2,5178,15,9,4,6,1,4,1,0,0,49,39,0
96,31,6,11784,10,15,2,10,0,4,1,0,47,59,39,1
97,20,4,13000,15,9,2,12,0,4,1,0,0,47,39,1
98,31,4,9538,7,11,0,4,4,4,0,0,0,39,9,0
99,15,1,16161,11,8,4,8,3,2,1,0,0,39,39,0
100,59,4,5912,12,13,2,4,0,4,1,0,0,39,39,1
101,27,4,12548,9,12,2,4,0,4,1,108,0,59,39,1
102,30,6,7684,12,13,4,10,1,4,0,0,0,49,39,0
103,3,4,11443,15,9,4,13,3,4,0,0,0,39,39,0
104,12,4,4144,11,8,4,3,1,4,1,0,0,39,39,0
105,15,5,18787,11,8,2,3,0,4,1,94,0,39,39,1
106,0,0,18393,0,5,4,0,3,4,0,116,0,31,39,0
107,13,4,12178,1,6,4,6,3,4,1,0,0,39,39,0
108,14,2,11560,11,8,4,1,1,4,0,0,0,39,39,0
109,25,4,5945,11,8,2,6,0,4,1,0,0,39,39,0
110,7,4,20966,9,12,4,12,2,4,1,0,0,39,39,0
111,21,4,2177,14,14,2,10,0,4,1,0,0,39,39,1
112,39,6,19266,11,8,2,8,0,4,1,0,46,49,2,1
113,11,4,20284,15,9,2,12,5,4,0,66,0,24,39,0
114,19,4,4098,11,8,4,7,3,4,0,0,0,39,39,0
115,36,4,3548,6,4,2,6,0,4,1,0,0,49,39,0
116,39,5,18330,15,9,2,12,0,4,1,0,0,49,39,0
117,32,2,12438,8,10,2,3,0,2,1,0,0,39,39,1
118,38,4,16056,15,9,2,12,0,4,1,0,0,55,39,0
119,5,4,4084,11,8,4,3,1,4,1,0,0,40,39,0
120,4,4,12727,15,9,4,8,3,4,0,0,0,39,39,0
121,23,4,5493,9,12,2,4,0,4,1,0,0,59,39,0
122,13,4,2654,9,12,4,4,3,2,1,0,0,39,11,0
123,12,7,17007,9,12,2,10,0,4,1,0,0,49,39,1
124,2,4,18279,15,9,4,8,3,2,1,0,0,34,39,0
125,30,4,17821,9,12,2,4,5,4,0,0,0,39,39,1
126,3,4,4842,15,9,4,1,3,4,0,0,33,27,39,0
127,14,4,5114,7,11,2,1,0,4,1,0,0,39,39,1
128,18,0,6282,11,8,2,0,0,4,1,0,0,39,39,0
129,22,4,20039,15,9,0,3,1,4,1,0,0,39,39,0
130,11,4,2346,7,11,4,12,1,4,0,0,0,59,39,0
131,7,4,1214,11,8,4,8,1,4,0,0,40,39,39,0
132,21,6,5660,11,8,2,3,0,4,1,68,0,34,39,0
133,20,4,16364,9,12,2,12,0,4,1,0,0,49,39,0
134,29,4,7460,7,11,0,13,1,2,0,0,0,35,39,0
135,21,1,6038,12,13,2,10,0,4,1,0,0,39,20,1
136,26,6,1867,11,8,2,3,0,4,1,0,0,59,39,0
137,10,4,8790,8,10,2,1,5,4,0,0,0,34,39,0
138,3,4,723,15,9,4,12,3,4,1,0,0,19,39,0
139,32,4,2858,15,9,2,3,0,1,1,0,0,39,39,1
140,44,5,2223,11,8,2,3,0,4,1,0,0,39,39,0
141,10,4,15213,15,9,4,12,3,4,0,0,0,39,39,0
142,2,4,18763,15,9,4,8,3,4,1,0,0,29,26,0
143,28,4,12356,8,10,4,10,1,4,0,0,20,39,39,1
144,53,4,4306,15,9,4,13,2,4,1,0,0,39,39,0
145,14,4,11153,11,8,4,14,4,2,0,0,0,29,39,0
146,5,4,9981,15,9,2,8,0,4,1,0,0,23,39,0
147,19,4,4545,11,8,6,8,4,4,0,0,0,23,39,0
148,47,4,10627,1,6,2,3,0,4,1,0,62,39,39,0
149,26,0,9898,15,9,0,0,1,4,0,0,0,39,39,0
150,30,2,11170,15,9,0,1,4,4,0,0,0,37,26,0
151,17,4,12529,11,8,4,1,1,4,0,0,0,39,39,0
152,16,4,8773,9,12,4,4,2,1,0,0,0,39,30,0
153,4,4,18109,11,8,4,3,3,4,1,0,0,34,39,0
154,35,0,16316,11,8,0,0,1,4,1,0,0,44,39,1
155,31,4,11373,11,8,2,3,0,4,1,0,0,45,39,0
156,6,4,14004,9,12,4,6,1,4,1,0,0,39,39,0
157,54,6,21290,15,9,5,12,4,2,1,0,41,1,39,0
158,12,4,11815,11,8,0,3,1,4,1,0,0,59,39,0
159,25,4,14949,9,12,5,8,2,2,1,0,0,49,39,0
160,51,0,985,3,1,0,0,1,4,0,0,0,19,39,0
161,8,4,16310,11,8,4,8,4,4,0,0,0,39,39,0
162,27,5,2712,12,13,0,4,4,1,0,0,0,39,39,0
163,11,4,3171,11,8,4,4,1,1,0,0,0,39,9,0
164,28,6,12840,12,13,2,12,0,4,1,0,0,39,39,1
165,19,4,13412,15,9,0,8,4,4,0,0,0,39,26,0
166,22,1,15376,7,11,4,4,1,4,1,0,0,41,39,0
167,29,7,4082,12,13,6,11,4,4,1,0,0,39,39,0
168,1,4,160,1,6,4,6,3,4,1,0,0,15,39,0
169,49,2,1764,8,10,6,10,1,4,0,0,0,19,39,0
170,10,4,5968,11,8,4,8,1,4,1,0,51,39,39,0
171,11,7,9975,11,8,2,11,0,4,1,0,0,39,39,0
172,34,4,3577,15,9,2,12,0,4,1,0,50,39,39,1
173,10,4,20937,9,12,4,3,1,4,1,0,0,49,39,0
174,11,7,7723,9,12,2,10,0,4,1,0,0,39,39,1
175,10,4,16350,11,8,3,12,4,4,0,0,0,24,39,0
176,4,4,18641,11,8,4,3,3,2,1,0,0,39,39,0
177,17,4,21259,11,8,4,6,1,2,1,0,0,39,39,0
178,1,4,10954,11,8,4,8,3,4,1,0,0,11,39,0
179,16,4,924,9,12,2,10,0,4,1,0,0,64,39,0
180,27,2,10642,15,9,2,4,0,2,1,0,0,37,39,1
181,26,4,5083,15,9,0,1,1,4,0,0,0,39,39,0
182,13,4,21546,15,9,4,3,1,2,1,0,0,44,39,0
183,23,4,17766,5,3,2,7,0,4,1,0,0,39,26,1
184,20,1,322,15,9,2,1,0,4,1,0,0,41,39,1
185,17,4,18364,11,8,2,1,0,2,1,0,0,39,39,0
186,24,6,7228,9,12,0,4,1,4,0,0,0,39,39,0
187,36,0,6664,9,12,0,0,1,4,0,0,0,49,39,0
188,14,4,3867,12,13,2,10,5,4,0,0,0,49,39,0
189,41,7,4662,10,15,2,10,0,4,1,0,0,0,39,1
190,21,4,8144,15,9,0,7,1,2,0,0,0,27,39,0
191,7,4,8470,15,9,2,7,0,4,1,0,0,39,39,0
192,24,2,21394,9,12,2,3,0,2,1,0,0,39,39,0
193,30,4,5657,15,9,2,13,0,4,1,0,0,44,39,0
194,24,1,6385,9,12,2,13,0,4,1,0,0,23,39,0
195,6,4,12442,4,2,2,14,2,4,1,0,0,39,26,0
196,19,4,3825,15,9,0,3,1,4,1,0,0,39,39,0
197,23,1,1861,12,13,4,4,1,4,0,105,0,54,39,1
198,18,4,6926,12,13,2,10,2,4,1,91,0,39,39,1
199,7,6,599,11,8,4,12,1,4,1,0,0,39,39,0
200,9,4,20567,12,13,4,10,1,4,0,0,45,39,39,0
201,2,0,9505,11,8,4,0,3,4,1,0,0,39,22,0
202,34,4,16629,9,12,2,4,0,4,1,0,0,49,39,1
203,25,2,16395,15,9,4,10,1,4,0,0,13,39,39,0
204,20,7,1432,11,8,0,1,4,4,0,0,0,34,39,0
205,1,4,7000,1,6,4,12,3,4,0,0,0,39,39,0
206,19,4,6247,9,12,2,8,0,2,1,91,0,35,39,1
207,18,4,863,11,8,0,3,1,4,1,0,0,59,39,0
208,41,5,13689,11,8,2,12,5,4,0,108,0,34,39,1
209,0,4,2180,1,6,4,12,3,4,0,0,0,11,39,0
210,27,2,8595,11,8,2,14,0,2,1,0,0,39,39,0
211,20,4,13504,11,8,2,3,0,4,1,0,0,39,39,1
212,18,4,8038,15,9,4,12,1,0,0,0,0,39,39,0
213,43,4,3062,11,8,2,3,0,1,1,0,0,39,39,0
214,37,5,6003,5,3,2,7,0,4,1,0,0,39,39,1
215,20,4,21548,9,12,4,4,1,2,1,0,0,59,39,1
216,33,4,18649,7,11,0,12,1,4,0,0,0,39,39,0
217,21,4,10788,9,12,2,12,0,4,1,0,0,49,31,0
218,28,4,4651,9,12,2,10,0,4,1,0,0,54,39,0
219,8,4,16407,0,5,4,3,1,4,1,0,0,39,39,0
220,14,4,12494,15,9,2,6,0,4,1,0,0,39,39,0
221,47,0,11367,3,1,0,0,1,4,1,0,0,39,39,0
222,72,4,1603,11,8,4,8,1,2,1,0,65,39,39,0
223,37,4,10147,11,8,2,1,0,2,1,0,0,19,39,0
224,36,2,7009,13,0,4,7,1,4,0,0,0,34,39,0
225,1,4,15842,11,8,4,12,3,4,0,0,0,39,39,0
226,43,0,105,0,5,0,0,1,0,0,0,0,9,39,0
227,49,6,9189,11,8,2,5,0,4,1,11,0,49,39,0
228,58,4,18674,8,10,6,1,1,4,0,0,0,19,4,0
229,48,4,10167,11,8,0,1,1,4,0,0,0,39,39,0
230,18,4,21416,1,6,5,14,1,2,1,60,0,39,39,0
231,24,4,6361,11,8,0,12,4,2,0,0,0,37,39,0
232,8,4,8486,15,9,4,1,1,4,1,0,0,41,39,0
233,16,4,4786,15,9,0,3,2,3,0,0,0,39,39,0
234,11,4,2632,14,14,4,10,1,4,1,0,0,54,39,1
235,42,7,17039,11,8,2,8,0,4,1,0,0,39,39,0
236,23,7,9493,15,9,4,1,1,4,0,0,0,37,39,0
237,24,4,10516,9,12,2,4,0,4,1,0,0,49,20,1
238,21,2,5131,12,13,2,4,0,4,1,0,0,68,39,1
239,6,4,5166,11,8,4,14,3,4,1,0,0,39,39,0
240,23,4,19647,9,12,2,10,0,4,1,0,0,39,39,1
241,24,6,12302,11,8,2,8,5,4,0,0,0,19,39,0
242,7,7,17258,7,11,2,11,0,4,1,0,0,49,39,0
243,3,0,5520,15,9,4,0,3,4,1,0,0,19,39,0
244,21,4,10450,15,9,0,3,1,4,1,0,38,39,39,0
245,39,4,13082,11,8,2,1,0,4,1,0,0,34,0,0
246,41,4,15450,11,8,2,1,0,4,1,0,0,44,39,1
247,15,4,10952,11,8,4,8,1,4,0,0,0,33,39,0
248,23,4,13450,7,11,2,13,0,4,1,0,50,59,39,1
249,28,4,7991,11,8,2,1,0,4,1,0,0,39,0,0
250,24,4,4925,14,14,2,10,5,4,0,0,0,39,39,1
251,25,4,20479,9,12,2,1,5,2,0,0,0,39,39,0
252,42,2,9561,0,5,6,8,4,2,0,0,0,29,39,0
253,2,2,232,15,9,4,1,3,4,1,0,0,39,39,0
254,41,4,16616,15,9,4,14,1,4,1,0,0,19,39,0
255,25,6,18328,11,8,2,5,0,1,1,0,0,39,1,1
256,3,4,5390,11,8,4,8,3,4,0,0,0,39,39,0
257,15,4,9675,11,8,5,8,1,4,0,0,0,29,39,0
258,28,4,11368,8,10,6,4,1,4,0,0,0,44,39,0
259,33,4,13170,5,3,0,3,1,4,1,0,0,39,39,0
260,19,4,7758,9,12,0,10,3,4,0,0,0,39,39,0
261,28,4,3715,11,8,2,12,0,4,1,0,0,59,39,0
262,0,4,15980,1,6,4,8,3,4,1,0,0,11,39,0
263,42,4,7449,15,9,2,12,0,4,1,66,0,39,39,0
264,9,4,20293,1,6,2,3,0,4,1,0,0,39,39,0
265,20,5,16527,15,9,2,4,0,1,1,0,0,72,37,1
266,2,0,14325,15,9,4,0,3,4,1,0,0,23,2,0
267,47,4,39,11,8,2,4,0,4,1,0,0,39,39,1
268,16,4,11122,9,12,4,10,1,4,0,0,0,44,39,0
269,16,4,14537,11,8,2,3,5,4,0,0,0,39,39,1
270,44,4,2355,11,8,2,4,0,4,1,0,0,39,39,1
271,0,4,11780,6,4,4,8,3,4,1,6,0,23,39,0
272,33,6,432,12,13,2,5,0,4,1,34,0,92,39,0
273,10,2,13570,12,13,4,10,3,4,1,0,0,34,39,0
274,13,4,2371,11,8,0,10,3,4,0,0,0,39,39,0
275,26,4,21233,11,8,2,6,0,2,1,0,0,39,39,0
276,27,4,9524,15,9,2,3,0,4,1,91,0,39,39,1
277,18,4,11655,15,9,4,4,1,4,0,0,0,39,39,0
278,8,4,12068,15,9,4,13,3,4,0,0,0,39,39,0
279,7,4,17481,15,9,2,7,5,4,0,91,0,47,39,1
280,5,4,772,9,12,4,10,1,4,0,0,0,14,11,0
281,25,2,3682,15,9,2,3,0,4,1,79,0,39,39,1
282,17,4,9987,7,11,0,12,4,2,0,0,0,44,39,0
283,43,4,9813,9,12,0,10,1,4,0,0,0,41,39,0
284,4,4,13289,11,8,4,6,3,4,1,0,0,39,39,0
285,40,1,20910,12,13,2,12,0,4,1,108,0,39,39,1
286,24,4,14433,14,14,2,10,0,4,1,0,0,59,39,1
287,33,4,10139,15,9,0,8,1,4,1,0,0,44,39,0
288,8,4,20152,9,12,4,4,1,4,0,0,0,39,39,0
289,33,4,12078,5,3,2,3,0,4,1,0,0,39,7,0
290,19,4,12764,9,12,2,10,0,4,1,0,0,44,39,0
291,14,4,6158,11,8,0,10,1,4,0,0,0,39,39,0
292,12,2,14426,9,12,4,11,1,4,1,0,0,55,39,0
293,4,4,15172,15,9,4,12,3,4,1,0,0,44,39,0
294,10,4,16105,9,12,4,13,4,2,0,0,0,39,39,0
295,48,4,4793,11,8,2,14,0,4,1,0,0,15,39,0
296,20,5,1889,9,12,0,12,1,4,0,0,0,59,39,0
297,22,0,8315,12,13,2,0,5,1,0,58,0,39,0,0
298,7,4,17423,11,8,4,3,3,4,1,0,0,39,39,0
299,21,4,9371,11,8,0,12,1,4,1,0,0,76,39,0
300,31,4,7464,9,12,2,1,0,4,1,94,0,39,39,1
301,4,4,8035,15,9,4,8,1,1,0,0,0,24,39,0
302,14,4,14230,11,8,2,14,0,4,1,0,0,44,39,1
303,38,4,15581,11,8,2,12,0,4,1,68,0,39,39,1
304,7,4,18337,15,9,2,1,5,1,0,0,0,39,25,0
305,26,4,9751,11,8,0,1,1,4,0,0,0,39,39,0
306,9,4,12082,7,11,4,13,1,4,1,0,0,44,39,0
307,29,4,2918,7,11,4,10,1,4,0,0,0,32,39,0
308,18,4,12069,7,11,2,1,0,4,1,0,0,39,39,1
309,24,5,777,15,9,2,5,0,4,1,0,0,53,39,1
310,9,4,1961,9,12,4,12,1,4,1,0,0,39,39,0
311,17,4,7207,12,13,2,4,0,1,1,91,0,34,36,1
312,2,0,21627,15,9,4,0,3,2,0,0,0,24,39,0
313,19,6,13273,9,12,0,10,1,2,0,0,0,39,39,1
314,5,4,12705,15,9,4,12,3,4,1,0,0,14,39,0
315,7,4,11855,15,9,4,7,1,4,1,0,0,39,39,0
316,60,6,6906,15,9,2,12,0,4,1,0,0,39,39,0
317,5,4,20595,4,2,2,7,2,4,0,0,0,39,26,0
318,12,4,20884,15,9,4,13,1,4,0,0,0,39,39,0
319,45,4,8498,11,8,6,8,1,4,0,0,0,23,39,0
320,22,6,9854,11,8,2,4,0,4,1,0,0,39,39,0
321,26,4,1537,15,9,2,3,0,4,1,0,17,49,39,0
322,18,4,11180,11,8,0,14,1,4,1,0,0,44,39,0
323,12,4,12769,1,6,4,4,1,4,0,0,0,39,39,0
324,59,6,9855,12,13,2,3,0,4,1,0,0,9,39,0
325,46,6,2713,11,8,2,5,0,4,1,0,0,44,39,0
326,6,0,13784,8,10,4,0,3,2,0,0,0,14,39,0
327,26,4,11377,15,9,2,10,5,4,0,0,46,49,39,1
328,41,6,18890,11,8,2,6,0,4,1,0,0,39,39,0
329,49,4,6185,11,8,4,14,1,4,1,22,0,54,39,0
330,24,4,13365,15,9,4,3,1,2,1,0,0,44,39,0
331,9,4,14690,9,12,4,1,1,4,1,0,0,39,39,0
332,30,4,10383,8,10,4,8,1,4,1,0,0,39,39,0
333,38,2,3741,0,5,2,1,0,4,1,0,0,39,39,0
334,36,4,15805,11,8,2,14,0,4,1,0,0,39,39,0
335,0,4,17132,4,2,4,8,2,4,1,0,0,47,26,0
336,13,4,3464,11,8,4,3,2,4,1,0,0,39,39,0
337,32,4,2405,12,13,4,10,1,4,1,0,0,59,39,0
338,2,4,4208,11,8,4,12,4,2,1,0,0,29,14,0
339,28,4,16701,11,8,2,8,0,2,1,0,0,39,39,0
340,9,4,3500,7,11,4,12,1,4,1,0,0,39,39,0
341,21,4,18119,8,10,2,3,0,4,1,91,0,39,39,1
342,19,7,5534,11,8,2,11,0,4,1,91,0,39,39,1
343,16,4,3026,11,8,4,5,1,4,1,0,0,19,39,0
344,5,7,18016,15,9,4,11,3,2,0,0,0,39,39,0
345,26,6,15768,9,12,4,12,1,4,1,0,0,41,39,0
346,50,0,850,1,6,2,0,0,4,1,0,0,7,39,0
347,13,0,7887,8,10,0,0,4,4,0,0,0,39,39,0
348,39,4,3951,7,11,3,8,1,4,1,0,0,24,20,0
349,14,4,8229,9,12,4,10,3,4,1,0,0,24,39,0
350,16,4,5411,9,12,2,4,0,4,1,0,0,39,39,1
351,9,4,11891,11,8,2,8,0,4,1,0,0,39,39,0
352,16,4,4816,9,12,2,4,0,4,1,0,0,39,39,1
353,29,2,19116,1,6,2,14,0,4,1,0,0,29,39,0
354,42,0,20153,9,12,2,0,0,4,1,0,0,39,39,1
355,21,1,3527,11,8,2,1,0,4,1,0,0,39,39,1
356,48,4,8634,1,6,6,8,4,3,1,0,0,39,39,0
357,23,4,3585,8,10,2,13,0,4,1,0,0,39,39,1
358,25,4,4857,11,8,2,1,5,4,0,0,0,34,39,0
359,9,6,5312,6,4,2,3,0,4,1,0,0,39,32,0
360,19,4,19652,0,5,2,8,5,4,0,0,0,23,39,0
361,45,4,17095,12,13,2,10,0,4,1,0,0,39,39,1
362,26,4,10567,9,12,2,14,0,4,1,0,0,44,39,0
363,26,4,9890,9,12,0,4,1,4,1,0,20,44,39,1
364,5,4,20757,11,8,3,12,1,4,1,0,0,54,39,0
365,11,4,3372,11,8,2,3,0,4,1,0,0,39,39,0
366,39,6,10843,15,9,2,12,0,4,1,0,0,44,39,0
367,5,4,19981,7,11,4,12,1,4,0,0,0,14,39,0
368,40,4,13839,9,12,0,4,1,4,0,0,0,44,39,1
369,22,4,21247,11,8,0,12,4,4,0,0,0,39,39,0
370,9,1,11162,15,9,4,1,4,4,0,0,0,14,39,0
371,0,4,3253,1,6,4,8,3,4,1,0,0,9,39,0
372,23,7,10963,8,10,2,7,0,4,1,0,0,37,39,1
373,28,4,16493,11,8,2,7,0,2,1,0,0,39,39,0
374,27,4,8546,11,8,4,3,1,2,1,0,0,39,39,0
375,3,2,19728,15,9,4,1,3,4,0,0,0,9,39,0
376,16,4,16974,11,8,2,3,5,4,0,0,0,39,39,0
377,6,4,821,15,9,4,12,1,4,1,0,0,39,39,0
378,29,6,2809,12,13,0,4,1,4,1,0,0,29,39,0
379,21,4,9712,11,8,2,12,0,4,1,0,0,49,39,0
380,37,4,9856,11,8,0,14,1,4,1,0,0,39,39,0
381,29,4,14034,4,2,0,3,1,4,0,0,72,44,39,0
382,8,4,19566,15,9,2,3,0,4,1,0,0,39,39,0
383,29,4,4582,15,9,0,12,1,4,0,0,0,39,39,0
384,19,2,5333,15,9,2,14,5,4,0,0,0,39,39,0
385,6,4,20551,11,8,4,8,1,4,0,0,0,24,39,0
386,12,4,6613,11,8,5,7,1,4,1,0,0,39,39,0
387,27,4,8681,15,9,2,1,5,4,0,0,76,5,39,1
388,2,4,148,15,9,4,1,3,4,0,0,0,15,39,0
389,2,4,15193,11,8,4,8,2,4,0,0,0,39,39,0
390,18,4,14405,11,8,2,8,5,4,0,0,0,39,39,1
391,10,4,18268,9,12,4,3,1,4,1,0,0,49,39,0
392,29,6,17415,7,11,5,3,1,4,1,0,0,39,39,0
393,17,7,3716,9,12,2,4,0,4,1,94,0,44,0,1
394,17,4,12315,11,8,4,8,1,4,0,0,0,34,39,0
395,27,4,5176,15,9,2,13,0,4,1,0,0,39,39,0
396,28,4,3642,15,9,0,6,4,4,0,0,0,39,39,0
397,3,0,6796,11,8,4,0,2,4,0,0,0,34,39,0
398,8,4,3108,9,12,2,4,0,4,1,0,0,54,39,1
399,35,5,6472,9,12,2,4,0,4,1,0,0,49,39,1
400,3,4,20813,15,9,4,6,3,4,1,0,0,39,39,0
401,11,4,4575,15,9,4,8,1,4,0,0,0,39,39,0
402,33,7,17838,9,12,2,11,0,4,1,0,0,39,39,1
403,17,4,14901,8,10,0,13,1,4,0,0,0,63,39,0
404,11,4,9080,5,3,2,6,0,3,1,0,62,39,33,0
405,24,4,21064,12,13,2,4,0,4,1,0,50,64,39,1
406,11,4,4707,11,8,2,1,0,4,1,0,0,39,39,0
407,29,6,18773,11,8,2,3,0,4,1,0,0,24,39,0
408,11,0,5826,15,9,2,0,5,4,0,0,46,39,39,1
409,15,4,20018,15,9,2,4,0,4,1,0,0,49,39,0
410,24,2,1181,15,9,0,8,1,2,0,0,0,23,39,0
411,7,4,15771,11,8,4,6,4,2,0,0,0,39,39,0
412,16,4,5457,15,9,0,4,4,4,0,0,0,39,39,0
413,29,4,11454,10,15,2,4,0,4,1,108,0,59,39,1
414,14,7,21636,15,9,2,7,0,4,1,0,0,39,39,0
415,18,4,3378,2,7,0,3,1,4,1,0,0,49,39,1
416,35,4,11726,3,1,2,7,0,4,1,0,0,39,26,0
417,13,4,20920,1,6,4,8,3,4,0,0,0,18,39,0
418,17,2,15880,1,6,5,7,1,2,1,0,0,39,39,0
419,17,7,15677,11,8,0,14,4,4,0,0,0,39,39,0
420,3,4,2052,15,9,2,12,0,4,1,0,0,29,39,0
